City,Country,Datetime,Latitude,Max Temperature (F),Humidity %,Cloudiness %,Windspeed (mph)
Rikitea,PF,1538024715,-23.12,71.31,100,92,18.61
Jamestown,AU,1538024687,-33.21,67.26,29,0,10.89
San Patricio,PY,1538024715,-26.98,69.15,94,92,2.95
Longyearbyen,NO,1538020200,78.22,24.8,68,40,16.11
Castro,CL,1538024715,-42.48,44.13,100,92,8.32
Minas Novas,BR,1538024716,-17.22,65.46,95,24,8.43
Tiksi,RU,1538024688,71.64,34.23,90,0,10.22
Atuona,PF,1538024716,-9.8,78.69,100,92,11.01
Saint-Philippe,CA,1538022900,45.36,59.0,82,90,3.36
Buraydah,SA,1538020800,26.33,86.0,28,20,3.36
Hilo,US,1538020560,19.71,82.94,74,75,10.29
Vaini,IN,1538024717,15.34,80.85,84,64,2.39
Cedar City,US,1538020380,37.68,55.94,9,1,3.36
Smidovich,RU,1538024717,48.6,63.12,55,0,3.74
Bethel,US,1538020380,60.79,51.08,68,40,11.41
Bluff,AU,1538024691,-23.58,86.52,27,36,4.52
Bredasdorp,ZA,1538020800,-34.53,59.0,72,36,5.82
Cidreira,BR,1538024719,-30.17,67.26,98,80,3.51
Goundam,ML,1538024719,16.42,76.35,58,0,5.53
Bambous Virieux,MU,1538020800,-20.34,75.2,64,40,12.75
Erseke,AL,1538024719,40.34,39.99,48,0,1.83
Busselton,AU,1538024720,-33.64,62.94,98,32,13.02
Dinar,TR,1538022000,38.07,55.4,58,75,3.36
Cape Town,ZA,1538020800,-33.93,57.2,87,75,9.17
Marsh Harbour,BS,1538024714,26.54,80.76,100,24,9.89
Hermanus,ZA,1538024720,-34.42,56.19,80,24,8.88
Nikolskoye,RU,1538022600,59.7,48.2,66,20,20.13
Ucluelet,CA,1538024721,48.94,51.42,93,0,2.62
Sao Filipe,CV,1538024721,14.9,77.97,98,56,5.41
Rome,IT,1538022000,41.89,57.2,61,0,6.93
Port Elizabeth,US,1538024100,39.31,71.96,93,1,8.05
Abha,SA,1538020800,18.22,66.2,32,0,1.95
Thompson,CA,1538020800,55.74,35.6,80,75,4.7
Umm Lajj,SA,1538024722,25.02,88.59,68,48,5.41
Salinopolis,BR,1538024427,-0.61,80.13,98,100,15.7
Tautira,PF,1538022600,-17.73,77.0,61,20,4.7
Mugla,BG,1538022600,41.62,35.6,80,0,4.7
Buala,SB,1538024725,-8.15,80.13,98,92,14.47
Tilichiki,RU,1538024726,60.47,39.09,90,80,13.8
Sept-Iles,CA,1538022300,50.2,51.8,100,90,9.17
Talnakh,RU,1538024726,69.49,45.48,92,92,18.95
Adrar,DZ,1538020800,27.87,77.0,41,40,16.11
Hofn,IS,1538024711,64.25,39.63,100,0,5.75
Kamenka,RU,1538024728,53.19,40.26,76,88,18.84
Pacific Grove,US,1538022900,36.62,57.02,87,1,1.39
Punta Arenas,CL,1538020800,-53.16,33.8,86,0,10.29
Karpogory,RU,1538024728,64.0,42.15,95,92,11.68
Upernavik,GL,1538024680,72.79,34.05,100,88,14.7
Yellowknife,CA,1538020800,62.45,28.4,58,90,13.87
Port Alfred,ZA,1538024729,-33.59,64.29,87,20,8.77
Komsomolskiy,RU,1538024729,67.55,43.86,99,88,15.26
Nanortalik,GL,1538024729,60.14,39.99,95,92,11.23
Hasaki,JP,1538022600,35.73,66.2,88,75,12.75
Fortuna,ES,1538022600,38.18,73.4,73,20,9.17
Ushuaia,AR,1538020800,-54.81,37.4,55,20,10.22
Saint-Leu,RE,1538022600,-21.15,77.0,44,0,3.36
Tuktoyaktuk,CA,1538020800,69.44,30.2,80,75,23.04
Clyde River,CA,1538020800,70.47,23.0,85,90,8.05
Barrow,AR,1538024732,-38.31,45.21,78,76,9.22
Klaksvik,FO,1538022000,62.23,42.8,93,92,11.41
Machilipatnam,IN,1538022600,16.18,86.0,66,40,5.64
Luderitz,NA,1538024732,-26.65,52.23,87,0,12.24
Auki,NG,1538024733,12.18,71.31,93,8,10.45
Roquetas de Mar,ES,1538022600,36.76,75.2,73,90,13.87
Ossora,RU,1538024733,59.24,41.52,96,0,21.3
Ciudad Bolivar,VE,1538024733,8.12,75.36,96,64,3.06
Noumea,NC,1538022600,-22.28,75.2,60,40,25.28
Saint-Pierre,FR,1538022600,48.95,44.6,93,0,3.36
Antofagasta,CL,1538020800,-23.65,59.0,72,90,4.7
Nome,US,1538024100,30.04,75.38,93,75,3.62
Aklavik,CA,1538020800,68.22,24.8,85,20,5.82
Puerto Ayora,EC,1538024735,-0.74,69.42,100,64,10.45
Port Lincoln,AU,1538024735,-34.72,58.71,91,92,13.02
Butaritari,KI,1538024736,3.07,84.18,100,20,8.21
Nisia Floresta,BR,1538024400,-6.09,75.2,78,40,9.17
Sisimiut,GL,1538024736,66.94,29.37,97,76,4.85
Hithadhoo,MV,1538024736,-0.6,81.84,100,64,15.59
Lixourion,GR,1538022000,38.2,64.4,39,20,17.22
Tupik,RU,1538024737,54.43,58.8,45,20,7.43
Galesong,ID,1538020800,-5.32,91.4,46,20,10.29
Kapaa,US,1538020560,22.08,80.96,97,40,8.05
Inhambane,MZ,1538024737,-23.87,79.77,85,0,10.0
Mataura,NZ,1538024738,-46.19,45.93,97,92,5.64
Lagoa,PT,1538022600,37.14,75.2,78,0,14.99
New Norfolk,AU,1538022720,-42.78,68.0,32,0,19.46
Caucaia,BR,1538024400,-3.73,78.8,74,40,16.11
Imbituba,BR,1538020800,-28.24,71.6,94,40,3.36
Bonthe,SL,1538024739,7.53,71.67,100,92,2.17
Chuy,UY,1538024740,-33.69,59.97,97,92,20.18
Birsk,RU,1538024740,55.42,48.81,97,64,7.31
Vila Velha,BR,1538024400,-3.71,78.8,74,40,16.11
Dese,IT,1538022000,45.53,50.0,76,0,3.36
Klyuchi,RU,1538024741,52.25,70.05,61,0,4.63
Mahebourg,MU,1538020800,-20.41,75.2,64,40,12.75
